City,Code,Date,Time,Prayer,AzanType
Ajman Masfoot,A,2025-04-01,05:05,Fajr,Fajr
Ajman Masfoot,A,2025-04-01,12:36,Duhur,Regular
Ajman Masfoot,A,2025-04-01,16:02,Asr,Regular
Ajman Masfoot,A,2025-04-01,18:48,Maghrib,Regular
Ajman Masfoot,A,2025-04-01,20:03,Isha,Regular
Ajman Masfoot,A,2025-04-02,05:04,Fajr,Fajr
Ajman Masfoot,A,2025-04-02,12:35,Duhur,Regular
Ajman Masfoot,A,2025-04-02,16:02,Asr,Regular
Ajman Masfoot,A,2025-04-02,18:48,Maghrib,Regular
Ajman Masfoot,A,2025-04-02,20:03,Isha,Regular
Ajman Masfoot,A,2025-04-03,05:02,Fajr,Fajr
Ajman Masfoot,A,2025-04-03,12:35,Duhur,Regular
Ajman Masfoot,A,2025-04-03,16:02,Asr,Regular
Ajman Masfoot,A,2025-04-03,18:49,Maghrib,Regular
Ajman Masfoot,A,2025-04-03,20:04,Isha,Regular
Ajman Masfoot,A,2025-04-04,05:01,Fajr,Fajr
Ajman Masfoot,A,2025-04-04,12:35,Duhur,Regular
Ajman Masfoot,A,2025-04-04,16:01,Asr,Regular
Ajman Masfoot,A,2025-04-04,18:49,Maghrib,Regular
Ajman Masfoot,A,2025-04-04,20:05,Isha,Regular
Ajman Masfoot,A,2025-04-05,05:00,Fajr,Fajr
Ajman Masfoot,A,2025-04-05,12:34,Duhur,Regular
Ajman Masfoot,A,2025-04-05,16:01,Asr,Regular
Ajman Masfoot,A,2025-04-05,18:49,Maghrib,Regular
Ajman Masfoot,A,2025-04-05,20:05,Isha,Regular
Ajman Masfoot,A,2025-04-06,04:59,Fajr,Fajr
Ajman Masfoot,A,2025-04-06,12:34,Duhur,Regular
Ajman Masfoot,A,2025-04-06,16:01,Asr,Regular
Ajman Masfoot,A,2025-04-06,18:50,Maghrib,Regular
Ajman Masfoot,A,2025-04-06,20:06,Isha,Regular
Ajman Masfoot,A,2025-04-07,04:58,Fajr,Fajr
Ajman Masfoot,A,2025-04-07,12:34,Duhur,Regular
Ajman Masfoot,A,2025-04-07,16:01,Asr,Regular
Ajman Masfoot,A,2025-04-07,18:50,Maghrib,Regular
Ajman Masfoot,A,2025-04-07,20:06,Isha,Regular
Ajman Masfoot,A,2025-04-08,04:57,Fajr,Fajr
Ajman Masfoot,A,2025-04-08,12:34,Duhur,Regular
Ajman Masfoot,A,2025-04-08,16:01,Asr,Regular
Ajman Masfoot,A,2025-04-08,18:51,Maghrib,Regular
Ajman Masfoot,A,2025-04-08,20:07,Isha,Regular
Ajman Masfoot,A,2025-04-09,04:56,Fajr,Fajr
Ajman Masfoot,A,2025-04-09,12:33,Duhur,Regular
Ajman Masfoot,A,2025-04-09,16:00,Asr,Regular
Ajman Masfoot,A,2025-04-09,18:51,Maghrib,Regular
Ajman Masfoot,A,2025-04-09,20:07,Isha,Regular
Ajman Masfoot,A,2025-04-10,04:55,Fajr,Fajr
Ajman Masfoot,A,2025-04-10,12:33,Duhur,Regular
Ajman Masfoot,A,2025-04-10,16:00,Asr,Regular
Ajman Masfoot,A,2025-04-10,18:52,Maghrib,Regular
Ajman Masfoot,A,2025-04-10,20:08,Isha,Regular
Ajman Masfoot,A,2025-04-11,04:54,Fajr,Fajr
Ajman Masfoot,A,2025-04-11,12:33,Duhur,Regular
Ajman Masfoot,A,2025-04-11,16:00,Asr,Regular
Ajman Masfoot,A,2025-04-11,18:52,Maghrib,Regular
Ajman Masfoot,A,2025-04-11,20:08,Isha,Regular
Ajman Masfoot,A,2025-04-12,04:52,Fajr,Fajr
Ajman Masfoot,A,2025-04-12,12:32,Duhur,Regular
Ajman Masfoot,A,2025-04-12,16:00,Asr,Regular
Ajman Masfoot,A,2025-04-12,18:53,Maghrib,Regular
Ajman Masfoot,A,2025-04-12,20:09,Isha,Regular
Ajman Masfoot,A,2025-04-13,04:51,Fajr,Fajr
Ajman Masfoot,A,2025-04-13,12:32,Duhur,Regular
Ajman Masfoot,A,2025-04-13,15:59,Asr,Regular
Ajman Masfoot,A,2025-04-13,18:53,Maghrib,Regular
Ajman Masfoot,A,2025-04-13,20:10,Isha,Regular
Ajman Masfoot,A,2025-04-14,04:50,Fajr,Fajr
Ajman Masfoot,A,2025-04-14,12:32,Duhur,Regular
Ajman Masfoot,A,2025-04-14,15:59,Asr,Regular
Ajman Masfoot,A,2025-04-14,18:53,Maghrib,Regular
Ajman Masfoot,A,2025-04-14,20:10,Isha,Regular
Ajman Masfoot,A,2025-04-15,04:49,Fajr,Fajr
Ajman Masfoot,A,2025-04-15,12:32,Duhur,Regular
Ajman Masfoot,A,2025-04-15,15:59,Asr,Regular
Ajman Masfoot,A,2025-04-15,18:54,Maghrib,Regular
Ajman Masfoot,A,2025-04-15,20:11,Isha,Regular
Ajman Masfoot,A,2025-04-16,04:48,Fajr,Fajr
Ajman Masfoot,A,2025-04-16,12:32,Duhur,Regular
Ajman Masfoot,A,2025-04-16,15:59,Asr,Regular
Ajman Masfoot,A,2025-04-16,18:54,Maghrib,Regular
Ajman Masfoot,A,2025-04-16,20:11,Isha,Regular
Ajman Masfoot,A,2025-04-17,04:47,Fajr,Fajr
Ajman Masfoot,A,2025-04-17,12:31,Duhur,Regular
Ajman Masfoot,A,2025-04-17,15:58,Asr,Regular
Ajman Masfoot,A,2025-04-17,18:55,Maghrib,Regular
Ajman Masfoot,A,2025-04-17,20:12,Isha,Regular
Ajman Masfoot,A,2025-04-18,04:46,Fajr,Fajr
Ajman Masfoot,A,2025-04-18,12:31,Duhur,Regular
Ajman Masfoot,A,2025-04-18,15:58,Asr,Regular
Ajman Masfoot,A,2025-04-18,18:55,Maghrib,Regular
Ajman Masfoot,A,2025-04-18,20:13,Isha,Regular
Ajman Masfoot,A,2025-04-19,04:45,Fajr,Fajr
Ajman Masfoot,A,2025-04-19,12:31,Duhur,Regular
Ajman Masfoot,A,2025-04-19,15:58,Asr,Regular
Ajman Masfoot,A,2025-04-19,18:56,Maghrib,Regular
Ajman Masfoot,A,2025-04-19,20:13,Isha,Regular
Ajman Masfoot,A,2025-04-20,04:44,Fajr,Fajr
Ajman Masfoot,A,2025-04-20,12:31,Duhur,Regular
Ajman Masfoot,A,2025-04-20,15:58,Asr,Regular
Ajman Masfoot,A,2025-04-20,18:56,Maghrib,Regular
Ajman Masfoot,A,2025-04-20,20:14,Isha,Regular
Ajman Masfoot,A,2025-04-21,04:43,Fajr,Fajr
Ajman Masfoot,A,2025-04-21,12:30,Duhur,Regular
Ajman Masfoot,A,2025-04-21,15:57,Asr,Regular
Ajman Masfoot,A,2025-04-21,18:57,Maghrib,Regular
Ajman Masfoot,A,2025-04-21,20:15,Isha,Regular
Ajman Masfoot,A,2025-04-22,04:42,Fajr,Fajr
Ajman Masfoot,A,2025-04-22,12:30,Duhur,Regular
Ajman Masfoot,A,2025-04-22,15:57,Asr,Regular
Ajman Masfoot,A,2025-04-22,18:57,Maghrib,Regular
Ajman Masfoot,A,2025-04-22,20:15,Isha,Regular
Ajman Masfoot,A,2025-04-23,04:41,Fajr,Fajr
Ajman Masfoot,A,2025-04-23,12:30,Duhur,Regular
Ajman Masfoot,A,2025-04-23,15:57,Asr,Regular
Ajman Masfoot,A,2025-04-23,18:58,Maghrib,Regular
Ajman Masfoot,A,2025-04-23,20:16,Isha,Regular
Ajman Masfoot,A,2025-04-24,04:40,Fajr,Fajr
Ajman Masfoot,A,2025-04-24,12:30,Duhur,Regular
Ajman Masfoot,A,2025-04-24,15:56,Asr,Regular
Ajman Masfoot,A,2025-04-24,18:58,Maghrib,Regular
Ajman Masfoot,A,2025-04-24,20:17,Isha,Regular
Ajman Masfoot,A,2025-04-25,04:39,Fajr,Fajr
Ajman Masfoot,A,2025-04-25,12:30,Duhur,Regular
Ajman Masfoot,A,2025-04-25,15:56,Asr,Regular
Ajman Masfoot,A,2025-04-25,18:58,Maghrib,Regular
Ajman Masfoot,A,2025-04-25,20:17,Isha,Regular
Ajman Masfoot,A,2025-04-26,04:38,Fajr,Fajr
Ajman Masfoot,A,2025-04-26,12:30,Duhur,Regular
Ajman Masfoot,A,2025-04-26,15:56,Asr,Regular
Ajman Masfoot,A,2025-04-26,18:59,Maghrib,Regular
Ajman Masfoot,A,2025-04-26,20:18,Isha,Regular
Ajman Masfoot,A,2025-04-27,04:37,Fajr,Fajr
Ajman Masfoot,A,2025-04-27,12:29,Duhur,Regular
Ajman Masfoot,A,2025-04-27,15:56,Asr,Regular
Ajman Masfoot,A,2025-04-27,18:59,Maghrib,Regular
Ajman Masfoot,A,2025-04-27,20:19,Isha,Regular
Ajman Masfoot,A,2025-04-28,04:36,Fajr,Fajr
Ajman Masfoot,A,2025-04-28,12:29,Duhur,Regular
Ajman Masfoot,A,2025-04-28,15:55,Asr,Regular
Ajman Masfoot,A,2025-04-28,19:00,Maghrib,Regular
Ajman Masfoot,A,2025-04-28,20:19,Isha,Regular
Ajman Masfoot,A,2025-04-29,04:35,Fajr,Fajr
Ajman Masfoot,A,2025-04-29,12:29,Duhur,Regular
Ajman Masfoot,A,2025-04-29,15:55,Asr,Regular
