City,Code,Date,Time,Prayer,AzanType
Fujairah,F,2025-04-01,04:49 AM,Fajr,Fajr
Fujairah,F,2025-04-01,12:21 PM,Duhur,Regular
Fujairah,F,2025-04-01,03:48 PM,Asr,Regular
Fujairah,F,2025-04-01,06:34 PM,Maghrib,Regular
Fujairah,F,2025-04-01,07:49 PM,Isha,Regular
Fujairah,F,2025-04-02,04:48 AM,Fajr,Fajr
Fujairah,F,2025-04-02,12:21 PM,Duhur,Regular
Fujairah,F,2025-04-02,03:47 PM,Asr,Regular
Fujairah,F,2025-04-02,06:35 PM,Maghrib,Regular
Fujairah,F,2025-04-02,07:49 PM,Isha,Regular
Fujairah,F,2025-04-03,04:47 AM,Fajr,Fajr
Fujairah,F,2025-04-03,12:20 PM,Duhur,Regular
Fujairah,F,2025-04-03,03:47 PM,Asr,Regular
Fujairah,F,2025-04-03,06:35 PM,Maghrib,Regular
Fujairah,F,2025-04-03,07:50 PM,Isha,Regular
Fujairah,F,2025-04-04,04:46 AM,Fajr,Fajr
Fujairah,F,2025-04-04,12:20 PM,Duhur,Regular
Fujairah,F,2025-04-04,03:47 PM,Asr,Regular
Fujairah,F,2025-04-04,06:35 PM,Maghrib,Regular
Fujairah,F,2025-04-04,07:50 PM,Isha,Regular
Fujairah,F,2025-04-05,04:45 AM,Fajr,Fajr
Fujairah,F,2025-04-05,12:20 PM,Duhur,Regular
Fujairah,F,2025-04-05,03:47 PM,Asr,Regular
Fujairah,F,2025-04-05,06:36 PM,Maghrib,Regular
Fujairah,F,2025-04-05,07:51 PM,Isha,Regular
Fujairah,F,2025-04-06,04:43 AM,Fajr,Fajr
Fujairah,F,2025-04-06,12:19 PM,Duhur,Regular
Fujairah,F,2025-04-06,03:47 PM,Asr,Regular
Fujairah,F,2025-04-06,06:36 PM,Maghrib,Regular
Fujairah,F,2025-04-06,07:51 PM,Isha,Regular
Fujairah,F,2025-04-07,04:42 AM,Fajr,Fajr
Fujairah,F,2025-04-07,12:19 PM,Duhur,Regular
Fujairah,F,2025-04-07,03:46 PM,Asr,Regular
Fujairah,F,2025-04-07,06:37 PM,Maghrib,Regular
Fujairah,F,2025-04-07,07:52 PM,Isha,Regular
Fujairah,F,2025-04-08,04:41 AM,Fajr,Fajr
Fujairah,F,2025-04-08,12:19 PM,Duhur,Regular
Fujairah,F,2025-04-08,03:46 PM,Asr,Regular
Fujairah,F,2025-04-08,06:37 PM,Maghrib,Regular
Fujairah,F,2025-04-08,07:53 PM,Isha,Regular
Fujairah,F,2025-04-09,04:40 AM,Fajr,Fajr
Fujairah,F,2025-04-09,12:19 PM,Duhur,Regular
Fujairah,F,2025-04-09,03:46 PM,Asr,Regular
Fujairah,F,2025-04-09,06:38 PM,Maghrib,Regular
Fujairah,F,2025-04-09,07:53 PM,Isha,Regular
Fujairah,F,2025-04-10,04:39 AM,Fajr,Fajr
Fujairah,F,2025-04-10,12:18 PM,Duhur,Regular
