City,Code,Date,Time,Prayer,AzanType
Hatta,D,2025-04-01,04:57 AM,Fajr,Fajr
Hatta,D,2025-04-01,12:29 PM,Duhur,Regular
Hatta,D,2025-04-01,03:55 PM,Asr,Regular
Hatta,D,2025-04-01,06:41 PM,Maghrib,Regular
Hatta,D,2025-04-01,07:56 PM,Isha,Regular
Hatta,D,2025-04-02,04:56 AM,Fajr,Fajr
Hatta,D,2025-04-02,12:28 PM,Duhur,Regular
Hatta,D,2025-04-02,03:55 PM,Asr,Regular
Hatta,D,2025-04-02,06:42 PM,Maghrib,Regular
Hatta,D,2025-04-02,07:56 PM,Isha,Regular
Hatta,D,2025-04-03,04:55 AM,Fajr,Fajr
Hatta,D,2025-04-03,12:28 PM,Duhur,Regular
Hatta,D,2025-04-03,03:54 PM,Asr,Regular
Hatta,D,2025-04-03,06:42 PM,Maghrib,Regular
Hatta,D,2025-04-03,07:57 PM,Isha,Regular
Hatta,D,2025-04-04,04:53 AM,Fajr,Fajr
Hatta,D,2025-04-04,12:28 PM,Duhur,Regular
Hatta,D,2025-04-04,03:54 PM,Asr,Regular
Hatta,D,2025-04-04,06:43 PM,Maghrib,Regular
Hatta,D,2025-04-04,07:57 PM,Isha,Regular
Hatta,D,2025-04-05,04:52 AM,Fajr,Fajr
Hatta,D,2025-04-05,12:27 PM,Duhur,Regular
Hatta,D,2025-04-05,03:54 PM,Asr,Regular
Hatta,D,2025-04-05,06:43 PM,Maghrib,Regular
Hatta,D,2025-04-05,07:58 PM,Isha,Regular
Hatta,D,2025-04-06,04:51 AM,Fajr,Fajr
Hatta,D,2025-04-06,12:27 PM,Duhur,Regular
Hatta,D,2025-04-06,03:54 PM,Asr,Regular
Hatta,D,2025-04-06,06:43 PM,Maghrib,Regular
Hatta,D,2025-04-06,07:58 PM,Isha,Regular
Hatta,D,2025-04-07,04:50 AM,Fajr,Fajr
Hatta,D,2025-04-07,12:27 PM,Duhur,Regular
Hatta,D,2025-04-07,03:53 PM,Asr,Regular
Hatta,D,2025-04-07,06:44 PM,Maghrib,Regular
Hatta,D,2025-04-07,07:59 PM,Isha,Regular
Hatta,D,2025-04-08,04:49 AM,Fajr,Fajr
Hatta,D,2025-04-08,12:27 PM,Duhur,Regular
Hatta,D,2025-04-08,03:53 PM,Asr,Regular
Hatta,D,2025-04-08,06:44 PM,Maghrib,Regular
Hatta,D,2025-04-08,07:59 PM,Isha,Regular
Hatta,D,2025-04-09,04:48 AM,Fajr,Fajr
Hatta,D,2025-04-09,12:26 PM,Duhur,Regular
Hatta,D,2025-04-09,03:53 PM,Asr,Regular
Hatta,D,2025-04-09,06:45 PM,Maghrib,Regular
Hatta,D,2025-04-09,08:00 PM,Isha,Regular
Hatta,D,2025-04-10,04:47 AM,Fajr,Fajr
Hatta,D,2025-04-10,12:26 PM,Duhur,Regular
Hatta,D,2025-04-10,03:53 PM,Asr,Regular
Hatta,D,2025-04-10,06:45 PM,Maghrib,Regular
Hatta,D,2025-04-10,08:00 PM,Isha,Regular
Hatta,D,2025-04-11,04:46 AM,Fajr,Fajr
Hatta,D,2025-04-11,12:26 PM,Duhur,Regular
Hatta,D,2025-04-11,03:52 PM,Asr,Regular
Hatta,D,2025-04-11,06:46 PM,Maghrib,Regular
Hatta,D,2025-04-11,08:01 PM,Isha,Regular
Hatta,D,2025-04-12,04:45 AM,Fajr,Fajr
Hatta,D,2025-04-12,12:26 PM,Duhur,Regular
Hatta,D,2025-04-12,03:52 PM,Asr,Regular
Hatta,D,2025-04-12,06:46 PM,Maghrib,Regular
Hatta,D,2025-04-12,08:02 PM,Isha,Regular
Hatta,D,2025-04-13,04:44 AM,Fajr,Fajr
Hatta,D,2025-04-13,12:25 PM,Duhur,Regular
Hatta,D,2025-04-13,03:52 PM,Asr,Regular
Hatta,D,2025-04-13,06:46 PM,Maghrib,Regular
Hatta,D,2025-04-13,08:02 PM,Isha,Regular
Hatta,D,2025-04-14,04:42 AM,Fajr,Fajr
Hatta,D,2025-04-14,12:25 PM,Duhur,Regular
Hatta,D,2025-04-14,03:52 PM,Asr,Regular
Hatta,D,2025-04-14,06:47 PM,Maghrib,Regular
Hatta,D,2025-04-14,08:03 PM,Isha,Regular
Hatta,D,2025-04-15,04:41 AM,Fajr,Fajr
Hatta,D,2025-04-15,12:25 PM,Duhur,Regular
Hatta,D,2025-04-15,03:51 PM,Asr,Regular
Hatta,D,2025-04-15,06:47 PM,Maghrib,Regular
Hatta,D,2025-04-15,08:03 PM,Isha,Regular
Hatta,D,2025-04-16,04:40 AM,Fajr,Fajr
Hatta,D,2025-04-16,12:25 PM,Duhur,Regular
Hatta,D,2025-04-16,03:51 PM,Asr,Regular
Hatta,D,2025-04-16,06:48 PM,Maghrib,Regular
Hatta,D,2025-04-16,08:04 PM,Isha,Regular
Hatta,D,2025-04-17,04:39 AM,Fajr,Fajr
Hatta,D,2025-04-17,12:24 PM,Duhur,Regular
Hatta,D,2025-04-17,03:51 PM,Asr,Regular
Hatta,D,2025-04-17,06:48 PM,Maghrib,Regular
Hatta,D,2025-04-17,08:05 PM,Isha,Regular
Hatta,D,2025-04-18,04:38 AM,Fajr,Fajr
Hatta,D,2025-04-18,12:24 PM,Duhur,Regular
Hatta,D,2025-04-18,03:51 PM,Asr,Regular
Hatta,D,2025-04-18,06:49 PM,Maghrib,Regular
Hatta,D,2025-04-18,08:05 PM,Isha,Regular
Hatta,D,2025-04-19,04:37 AM,Fajr,Fajr
Hatta,D,2025-04-19,12:24 PM,Duhur,Regular
Hatta,D,2025-04-19,03:50 PM,Asr,Regular
Hatta,D,2025-04-19,06:49 PM,Maghrib,Regular
Hatta,D,2025-04-19,08:06 PM,Isha,Regular
Hatta,D,2025-04-20,04:36 AM,Fajr,Fajr
Hatta,D,2025-04-20,12:24 PM,Duhur,Regular
Hatta,D,2025-04-20,03:50 PM,Asr,Regular
Hatta,D,2025-04-20,06:50 PM,Maghrib,Regular
Hatta,D,2025-04-20,08:06 PM,Isha,Regular
Hatta,D,2025-04-21,04:35 AM,Fajr,Fajr
Hatta,D,2025-04-21,12:23 PM,Duhur,Regular
Hatta,D,2025-04-21,03:50 PM,Asr,Regular
Hatta,D,2025-04-21,06:50 PM,Maghrib,Regular
Hatta,D,2025-04-21,08:07 PM,Isha,Regular
Hatta,D,2025-04-22,04:34 AM,Fajr,Fajr
Hatta,D,2025-04-22,12:23 PM,Duhur,Regular
Hatta,D,2025-04-22,03:50 PM,Asr,Regular
Hatta,D,2025-04-22,06:50 PM,Maghrib,Regular
Hatta,D,2025-04-22,08:08 PM,Isha,Regular
