City,Code,Date,Time,Prayer,AzanType
Ras Al Khaimah,RAK,2025-04-01,05:05 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-01,12:36 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-01,04:02 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-01,06:48 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-01,08:03 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-02,05:04 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-02,12:35 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-02,04:02 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-02,06:48 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-02,08:03 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-03,05:02 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-03,12:35 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-03,04:02 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-03,06:49 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-03,08:04 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-04,05:01 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-04,12:35 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-04,04:01 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-04,06:49 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-04,08:05 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-05,05:00 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-05,12:34 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-05,04:01 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-05,06:49 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-05,08:05 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-06,04:59 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-06,12:34 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-06,04:01 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-06,06:50 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-06,08:06 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-07,04:58 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-07,12:34 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-07,04:01 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-07,06:50 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-07,08:06 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-08,04:57 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-08,12:34 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-08,04:01 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-08,06:51 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-08,08:07 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-09,04:56 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-09,12:33 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-09,04:00 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-09,06:51 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-09,08:07 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-10,04:55 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-10,12:33 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-10,04:00 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-10,06:52 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-10,08:08 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-11,04:54 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-11,12:33 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-11,04:00 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-11,06:52 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-11,08:08 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-12,04:52 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-12,12:32 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-12,04:00 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-12,06:53 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-12,08:09 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-13,04:51 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-13,12:32 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-13,03:59 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-13,06:53 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-13,08:10 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-14,04:50 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-14,12:32 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-14,03:59 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-14,06:53 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-14,08:10 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-15,04:49 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-15,12:32 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-15,03:59 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-15,06:54 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-15,08:11 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-16,04:48 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-16,12:32 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-16,03:59 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-16,06:54 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-16,08:11 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-17,04:47 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-17,12:31 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-17,03:58 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-17,06:55 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-17,08:12 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-18,04:46 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-18,12:31 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-18,03:58 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-18,06:55 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-18,08:13 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-19,04:45 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-19,12:31 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-19,03:58 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-19,06:56 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-19,08:13 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-20,04:44 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-20,12:31 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-20,03:58 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-20,06:56 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-20,08:14 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-21,04:43 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-21,12:31 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-21,03:57 PM,Asr,Regular
